NAME,median_household_income,per_capita_income,population_below_poverty,poverty_universe,median_property_value,median_gross_rent,unemployed,labor_force,total_population,pop_white_alone,pop_black_alone,pop_aian_alone,pop_asian_alone,pop_nhpi_alone,pop_other_alone,pop_two_or_more_races,pop_hispanic_latino,education_universe,edu_high_school_diploma,edu_ged,edu_some_college_lt1yr,edu_some_college_gt1yr,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelors_plus,pct_no_hs
Census Tract 602; Cook County; Illinois,85417,80426,127,2176,674300,1519,91,1681,2176,1587,129,0,51,0,294,115,357,1831,65,12,49,97,77,912,328,189,64,17,031,060200,17031060200,0.058363970588235295,0.05413444378346222,0.7293198529411765,0.059283088235294115,0.0234375,0.1640625,0.815401419989077,0.020753686510103786
Census Tract 603; Cook County; Illinois,173125,96723,93,3057,782900,1860,56,2055,3057,2349,71,0,186,0,47,404,431,2304,170,17,75,188,143,1049,437,157,31,17,031,060300,17031060300,0.03042198233562316,0.027250608272506083,0.7684003925417076,0.023225384363755316,0.06084396467124632,0.14098789663068367,0.7265625,0.01605902777777779
Census Tract 604; Cook County; Illinois,153625,97277,116,3533,649300,1991,52,2447,3533,2921,38,0,258,0,85,231,211,2490,84,12,49,86,32,1182,828,190,6,17,031,060400,17031060400,0.03283328615907161,0.02125051082958725,0.8267761109538636,0.01075573167279932,0.07302575714690066,0.059722615341069915,0.8859437751004016,0.008433734939759074
Census Tract 605; Cook County; Illinois,52143,93948,303,1324,912500,-666666666,28,658,1329,945,99,6,77,0,56,146,211,1012,183,39,29,85,23,405,97,36,14,17,031,060500,17031060500,0.22885196374622357,0.0425531914893617,0.7110609480812641,0.0744920993227991,0.057938299473288185,0.15876598946576373,0.5454545454545454,0.09980237154150196
Census Tract 608; Cook County; Illinois,90174,73466,481,5413,219100,1979,119,4153,5413,3342,486,39,802,0,127,617,749,4555,134,21,115,436,374,1920,1005,270,205,17,031,060800,17031060800,0.08886015148716055,0.02865398507103299,0.6174025494180676,0.08978385368557178,0.14816183262516164,0.13837058932200258,0.7464324917672887,0.016465422612513714
Census Tract 609; Cook County; Illinois,79016,75172,722,7283,250000,1543,381,5491,7283,5609,475,115,461,0,198,425,781,6366,217,31,234,449,297,2719,1633,522,127,17,031,060900,17031060900,0.09913497185225868,0.06938626843926425,0.7701496636001648,0.06522037621859124,0.06329809144583276,0.1072360291088837,0.7855796418473139,0.02152057807100216
Census Tract 610; Cook County; Illinois,121332,79646,279,2284,575700,2211,46,1835,2284,1572,73,0,365,0,63,211,184,1643,41,0,9,121,47,784,257,245,29,17,031,061000,17031061000,0.12215411558669002,0.025068119891008173,0.6882661996497373,0.0319614711033275,0.15980735551663747,0.08056042031523643,0.8003651856360317,0.06695069993913572
Census Tract 611; Cook County; Illinois,117330,85993,78,1368,608700,1950,11,1134,1368,1012,15,0,29,0,53,259,277,975,5,0,72,17,43,523,189,101,25,17,031,061100,17031061100,0.05701754385964912,0.009700176366843033,0.7397660818713451,0.010964912280701754,0.021198830409356724,0.20248538011695907,0.8594871794871795,0.0
Census Tract 612; Cook County; Illinois,122857,83484,73,1946,851300,2071,6,1458,1954,1499,131,4,92,0,77,151,134,1375,41,7,82,52,88,725,281,58,22,17,031,061200,17031061200,0.03751284686536485,0.00411522633744856,0.7671443193449334,0.06704196519959059,0.04708290685772774,0.06857727737973388,0.7898181818181819,0.01381818181818184
Census Tract 615; Cook County; Illinois,128958,92402,181,1801,708300,1909,15,1230,1811,1352,77,5,132,0,40,205,86,1343,72,28,21,44,34,727,311,74,27,17,031,061500,17031061500,0.10049972237645752,0.012195121951219513,0.7465488680287135,0.04251794588625069,0.07288790723357261,0.047487575924903366,0.8481012658227848,0.0037230081906179935
Census Tract 618; Cook County; Illinois,85139,64307,103,1065,479100,1642,82,991,1152,818,40,0,172,0,18,104,108,998,32,0,5,24,54,553,245,53,18,17,031,061800,17031061800,0.09671361502347418,0.08274470232088799,0.7100694444444444,0.034722222222222224,0.14930555555555555,0.09375,0.8707414829659319,0.014028056112224463
Census Tract 619.01; Cook County; Illinois,73769,68212,901,3709,298200,1583,73,2461,3709,2700,334,0,235,0,99,341,377,3187,179,146,32,367,75,1639,436,269,44,17,031,061901,17031061901,0.24292262065246698,0.029662738724095895,0.7279590186033972,0.09005122674575357,0.06335939606362902,0.101644648153141,0.7492940069030436,0.0
Census Tract 619.02; Cook County; Illinois,95705,90272,367,4581,395500,1970,31,3151,4581,3621,288,0,375,0,103,194,528,3842,268,34,59,107,102,1872,899,428,55,17,031,061902,17031061902,0.08011351233355163,0.009838146620120596,0.7904387688277669,0.06286836935166994,0.08185985592665357,0.11525867714472822,0.846954711087975,0.00468505986465384
Census Tract 620; Cook County; Illinois,121375,97391,279,3021,565300,1822,24,2413,3021,2511,81,0,127,0,102,200,411,2286,86,44,28,37,40,1289,618,87,43,17,031,062000,17031062000,0.09235352532274081,0.009946125155408206,0.8311817279046674,0.026812313803376366,0.042039059913935785,0.13604766633565044,0.8910761154855643,0.006124234470691214
